name,behavior,time_500,time_1000,time_1500,time_2000
Thunder Dash, steady, 17148.9693, 31258.2092, 46397.1687, 63558.1293
Thunder Dash, sprinter, 7061.107800000001, 13119.2636, 18155.9941, 23191.2431
Thunder Dash, finisher, 6050.3853, 10094.0281, 14131.225999999999, 16146.9875
Thunder Dash, frontrunner, 4036.3056999999994, 7061.107800000001, 13119.2636, 20174.3124
Steady Star, steady, 12110.2029, 22183.230799999998, 31258.2092, 40352.2226
Steady Star, sprinter, 7061.107800000001, 13119.2636, 18155.9941, 23191.2431
Steady Star, finisher, 5046.5315, 9081.372899999998, 11101.2326, 13119.2636
Steady Star, frontrunner, 4036.3056999999994, 8070.993100000001, 12110.2029, 17148.9693
Final Sprint, steady, 8070.993100000001, 15138.051899999999, 22183.230799999998, 29251.233
Final Sprint, sprinter, 6050.3853, 10094.0281, 12110.2029, 17148.9693
Final Sprint, finisher, 6050.3853, 9081.372899999998, 12110.2029, 14131.225999999999
Final Sprint, frontrunner, 3022.4046, 6050.3853, 10094.0281, 15138.051899999999
Early Bird, steady, 11101.2326, 21180.0778, 30253.3062, 39339.9396
Early Bird, sprinter, 7061.107800000001, 11101.2326, 13119.2636, 18155.9941
Early Bird, finisher, 6050.3853, 10094.0281, 14131.225999999999, 17148.9693
Early Bird, frontrunner, 3022.4046, 6050.3853, 10094.0281, 17148.9693
Maximillion, steady, 10094.0281, 18155.9941, 26220.9308, 34284.0794
Maximillion, sprinter, 6050.3853, 9081.372899999998, 14131.225999999999, 18155.9941
Maximillion, finisher, 7061.107800000001, 12110.2029, 15138.051899999999, 18155.9941
Maximillion, frontrunner, 3022.4046, 7061.107800000001, 12110.2029, 18155.9941
Oreo Milkshake, steady, 14131.225999999999, 26220.9308, 37315.2105, 49431.2018
Oreo Milkshake, sprinter, 6050.3853, 12110.2029, 16146.9875, 21180.0778
Oreo Milkshake, finisher, 6050.3853, 10094.0281, 13119.2636, 16146.9875
Oreo Milkshake, frontrunner, 4036.3056999999994, 8070.993100000001, 13119.2636, 21180.0778
Neighvana, steady, 8070.993100000001, 15138.051899999999, 21180.0778, 28243.1709
Neighvana, sprinter, 8070.993100000001, 14131.225999999999, 20174.3124, 25209.0436
